mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_SelectKBest__k;param_model__max_depth;param_model__min_samples_leaf;param_model__min_samples_split;param_model__n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0,19816980361938477;0,07171024697902008;0,00859971046447754;0,0004898434520411503;20;8;1;2;50;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,41019417475728154;0,4344660194174757;0,6577669902912622;0,5169902912621359;0,4684466019417476;0,4975728155339806;0,08775539059011006;176
0,36481056213378904;0,12364544443566389;0,014200162887573243;0,0007471945365858906;20;8;1;2;100;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,4029126213592233;0,4368932038834951;0,662621359223301;0,5048543689320388;0,46601941747572817;0,49466019417475715;0,0904320856092817;213
0,7239736080169678;0,2552692663110504;0,024898242950439454;0,0012777468342036358;20;8;1;2;200;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,4053398058252427;0,5048543689320388;0,6456310679611651;0,5121359223300971;0,47815533980582525;0,5092233009708738;0,07796364357858744;72
0,8934594631195069;0,3184889009805619;0,031000089645385743;0,002367167341433965;20;8;1;2;250;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4077669902912621;0,44660194174757284;0,6383495145631068;0,5097087378640777;0,470873786407767;0,49466019417475726;0,07911876789079356;210
1,0754519939422607;0,37632589267703714;0,03519959449768066;0,0019391528123783384;20;8;1;2;300;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,41019417475728154;0,45145631067961167;0,6577669902912622;0,5048543689320388;0,4733009708737864;0,49951456310679604;0,0849084495854772;159
0,19003763198852539;0,06880242382602118;0,009077978134155274;0,0008179728795836378;20;8;2;2;50;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,4077669902912621;0,5315533980582524;0,6504854368932039;0,5;0,47815533980582525;0,5135922330097087;0,07962644901531275;38
0,3759345054626465;0,1324349922782892;0,014148235321044922;0,0008068564780587292;20;8;2;2;100;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,4029126213592233;0,5242718446601942;0,6504854368932039;0,5097087378640777;0,47815533980582525;0,5131067961165049;0,08046546650482901;44
0,7105520725250244;0,2538725710299665;0,02479996681213379;0,0011655089700832598;20;8;2;2;200;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,40048543689320387;0,5;0,6553398058252428;0,5072815533980582;0,4733009708737864;0,5072815533980582;0,08310759005155659;93
0,8984779357910156;0,3160350118758744;0,029599714279174804;0,0007997396962058812;20;8;2;2;250;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4029126213592233;0,4878640776699029;0,6553398058252428;0,5048543689320388;0,470873786407767;0,504368932038835;0,0830423486615266;111
1,0603433132171631;0,38181836030442695;0,03479399681091309;0,0009571107059082917;20;8;2;2;300;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,4053398058252427;0,4975728155339806;0,662621359223301;0,5;0,47572815533980584;0,508252427184466;0,08445206892942621;84
0,1863419532775879;0,06616326411992801;0,008315277099609376;0,00040599802455916614;20;8;5;2;50;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,40048543689320387;0,42961165048543687;0,6577669902912622;0,5194174757281553;0,4854368932038835;0,4985436893203884;0,08980713722473828;168
0,3674171447753906;0,1386275900087302;0,014912223815917969;0,0013627308276410906;20;8;5;2;100;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,4029126213592233;0,42718446601941745;0,6723300970873787;0,5024271844660194;0,47815533980582525;0,4966019417475728;0,09471121353499477;184
0,7096199035644531;0,2562246045866746;0,02534775733947754;0,001479809774492099;20;8;5;2;200;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,4077669902912621;0,4320388349514563;0,6480582524271845;0,5145631067961165;0,47572815533980584;0,4956310679611651;0,0845608217006473;193
0,879410982131958;0,3199866246458564;0,030802583694458006;0,0011647728563382058;20;8;5;2;250;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,40048543689320387;0,42961165048543687;0,6407766990291263;0,5024271844660194;0,4733009708737864;0,4893203883495145;0,08345562397220042;233
1,0611552715301513;0,39241027435509246;0,03499927520751953;0,0012645181799719406;20;8;5;2;300;{'SelectKBest__k': 20, 'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,4053398058252427;0,4320388349514563;0,6577669902912622;0,5024271844660194;0,47815533980582525;0,4951456310679612;0,08813052984784636;200
0,23412680625915527;0,09796084526278456;0,008799409866333008;0,0011666052436132626;20;16;1;2;50;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,4053398058252427;0,44660194174757284;0,6480582524271845;0,5;0,4563106796116505;0,49126213592233015;0,08397637342838869;224
0,4469634532928467;0,19395580996844416;0,014768600463867188;0,0011349591153966758;20;16;1;2;100;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,4077669902912621;0,5121359223300971;0,6286407766990292;0,5072815533980582;0,48058252427184467;0,5072815533980582;0,07122866333795992;93
0,8770547389984131;0,3828164366097914;0,025398731231689453;0,0018552636982014476;20;16;1;2;200;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,4053398058252427;0,5024271844660194;0,6480582524271845;0,5072815533980582;0,47815533980582525;0,5082524271844661;0,07883829922587104;82
1,1058725357055663;0,4829897451024834;0,029923009872436523;0,0021393746489652213;20;16;1;2;250;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4077669902912621;0,44660194174757284;0,662621359223301;0,5048543689320388;0,47815533980582525;0,5;0,0875268430339207;152
1,3134601593017579;0,5814235713005412;0,034999942779541014;0,0014145494941481141;20;16;1;2;300;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,40048543689320387;0,5048543689320388;0,6480582524271845;0,5097087378640777;0,47815533980582525;0,508252427184466;0,08009855838602155;84
0,2308344841003418;0,09727167205519581;0,008517313003540038;0,0011120568230505903;20;16;2;2;50;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,4029126213592233;0,529126213592233;0,6432038834951457;0,5121359223300971;0,48058252427184467;0,5135922330097087;0,077951552442724;38
0,45362076759338377;0,20404204489230957;0,014002370834350585;0,0012674673357850458;20;16;2;2;100;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,41504854368932037;0,4854368932038835;0,6674757281553398;0,5;0,4684466019417476;0,5072815533980582;0,08509696276554217;93
0,8795298099517822;0,3741907972910108;0,024599790573120117;0,0011999218305538443;20;16;2;2;200;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,41019417475728154;0,4854368932038835;0,6456310679611651;0,5072815533980582;0,48058252427184467;0,5058252427184466;0,07713101892557686;105
1,095855474472046;0,48579736420125913;0,030327796936035156;0,0013902660864569124;20;16;2;2;250;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4077669902912621;0,4684466019417476;0,6553398058252428;0,5121359223300971;0,47572815533980584;0,503883495145631;0,08281786723172582;115
1,3071066379547118;0,5771764493555201;0,03695621490478516;0,0012366983878141363;20;16;2;2;300;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,4053398058252427;0,46116504854368934;0,6529126213592233;0,5024271844660194;0,47815533980582525;0,5;0,082866224712119;152
0,223091459274292;0,0973814605181401;0,008601188659667969;0,0004908567126196817;20;16;5;2;50;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,41262135922330095;0,4320388349514563;0,6699029126213593;0,5097087378640777;0,47815533980582525;0,5004854368932039;0,09131376354196116;150
0,44024019241333007;0,19351034001291234;0,015901517868041993;0,0038569577914431925;20;16;5;2;100;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,4077669902912621;0,4320388349514563;0,662621359223301;0,5048543689320388;0,48058252427184467;0,49757281553398053;0,08937841087146589;178
0,8526503562927246;0,3557512959324643;0,024200582504272462;0,0007488636346022752;20;16;5;2;200;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,4053398058252427;0,4320388349514563;0,6699029126213593;0,5048543689320388;0,4830097087378641;0,4990291262135923;0,0924703130183242;161
1,0420527458190918;0,44998249658498946;0,030901718139648437;0,0016262453746233327;20;16;5;2;250;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4053398058252427;0,4320388349514563;0,6747572815533981;0,5;0,48058252427184467;0,49854368932038834;0,09432477291949083;169
1,2761309146881104;0,5668732134977916;0,03699135780334473;0,001567026768813395;20;16;5;2;300;{'SelectKBest__k': 20, 'model__max_depth': 16, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,4029126213592233;0,4320388349514563;0,6553398058252428;0,5;0,48058252427184467;0,4941747572815534;0,08761564405963868;214
0,24166760444641114;0,10872900247763102;0,008399772644042968;0,0004896496201250396;20;35;1;2;50;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,40048543689320387;0,44660194174757284;0,6310679611650486;0,5024271844660194;0,4441747572815534;0,4849514563106796;0,07990415127211782;236
0,47680110931396485;0,22295672629404267;0,014599990844726563;0,0007998708658997238;20;35;1;2;100;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,4077669902912621;0,5266990291262136;0,6480582524271845;0,5048543689320388;0,47572815533980584;0,5126213592233009;0,07868571172166564;49
0,947872543334961;0,4312546360612961;0,025357151031494142;0,0033675382307663086;20;35;1;2;200;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,4053398058252427;0,470873786407767;0,662621359223301;0,5048543689320388;0,47572815533980584;0,503883495145631;0,08578097087730271;115
1,235693597793579;0,5923521176957275;0,03570313453674316;0,004510736562487995;20;35;1;2;250;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4053398058252427;0,46116504854368934;0,6407766990291263;0,5097087378640777;0,47815533980582525;0,4990291262135923;0,07855382943653431;161
1,6338384628295899;0,8579117647336886;0,04538125991821289;0,006467164326575002;20;35;1;2;300;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,4053398058252427;0,45145631067961167;0,6650485436893204;0,5121359223300971;0,47572815533980584;0,5019417475728154;0,08862913182902189;140
0,2763389587402344;0,14764639532196092;0,01033477783203125;0,0014751382058339315;20;35;2;2;50;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,4077669902912621;0,4854368932038835;0,6383495145631068;0,5048543689320388;0,47815533980582525;0,5029126213592233;0,07525681045613192;123
0,6208384513854981;0,29244193718377676;0,019200468063354494;0,0011658285052774254;20;35;2;2;100;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,4029126213592233;0,4684466019417476;0,6577669902912622;0,5121359223300971;0,4733009708737864;0,5029126213592232;0,08500553064018461;125
1,2400118827819824;0,5568981971781167;0,03431777954101563;0,003022303442325827;20;35;2;2;200;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,4077669902912621;0,5121359223300971;0,6553398058252428;0,5145631067961165;0,47815533980582525;0,5135922330097088;0,08068481050626738;37
1,5437377452850343;0,7003039071115772;0,041382884979248045;0,0036652345677536144;20;35;2;2;250;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4029126213592233;0,4344660194174757;0,6480582524271845;0,5048543689320388;0,47572815533980584;0,4932038834951456;0,08488069174708612;219
1,8196687698364258;0,8220548228210077;0,04775667190551758;0,0027220367184299897;20;35;2;2;300;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,41262135922330095;0,47815533980582525;0,6480582524271845;0,5048543689320388;0,47815533980582525;0,5043689320388349;0,07802407115205125;112
0,3026126861572266;0,13405598856157516;0,012000226974487304;0,0008953759962468448;20;35;5;2;50;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,4077669902912621;0,47815533980582525;0,6407766990291263;0,5072815533980582;0,4854368932038835;0,503883495145631;0,07614708618874587;115
0,5911980152130127;0,2688603290449874;0,019906902313232423;0,0017536632238748736;20;35;5;2;100;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,4077669902912621;0,4975728155339806;0,6601941747572816;0,5121359223300971;0,47815533980582525;0,5111650485436894;0,0826754754149223;61
1,1505099296569825;0,5288331434401365;0,03360075950622558;0,0019591790765692307;20;35;5;2;200;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,4077669902912621;0,42961165048543687;0,6650485436893204;0,4975728155339806;0,4830097087378641;0,4966019417475728;0,0904867911061629;184
1,4385921955108643;0,6334370047605349;0,040668153762817384;0,0008824649656410091;20;35;5;2;250;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4029126213592233;0,4320388349514563;0,6577669902912622;0,5121359223300971;0,47572815533980584;0,4961165048543689;0,08898999680069238;190
1,7122811317443847;0,7579373797247961;0,04636836051940918;0,002044482736710308;20;35;5;2;300;{'SelectKBest__k': 20, 'model__max_depth': 35, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,4029126213592233;0,42961165048543687;0,662621359223301;0,5072815533980582;0,47572815533980584;0,4956310679611651;0,09096470847713779;193
0,3192108631134033;0,14312339150759826;0,011600017547607422;0,0013558842164449183;20;;1;2;50;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,4077669902912621;0,5849514563106796;0,6383495145631068;0,4878640776699029;0,4733009708737864;0,5184466019417475;0,08248999859399062;15
0,6231240272521973;0,27941204609143344;0,01880054473876953;0,0007477706951072086;20;;1;2;100;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,41019417475728154;0,5194174757281553;0,662621359223301;0,5097087378640777;0,4733009708737864;0,5150485436893203;0,08314160871448417;34
1,2359455585479737;0,5591890472676053;0,03343071937561035;0,00167403418550373;20;;1;2;200;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,4029126213592233;0,44660194174757284;0,6650485436893204;0,49514563106796117;0,47815533980582525;0,4975728155339807;0,08943112595176195;175
1,513063335418701;0,6834135291864473;0,03980064392089844;0,0014694840414389587;20;;1;2;250;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4077669902912621;0,5388349514563107;0,6650485436893204;0,5;0,47815533980582525;0,5179611650485437;0,08499444127471571;16
1,827797031402588;0,8238552543014703;0,04753818511962891;0,0021814880919470148;20;;1;2;300;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,40048543689320387;0,5024271844660194;0,6504854368932039;0,5072815533980582;0,47815533980582525;0,5077669902912623;0,08097343480385649;90
0,319825267791748;0,1465286158489153;0,011200046539306641;0,0003996613877189377;20;;2;2;50;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,41019417475728154;0,5218446601941747;0,6601941747572816;0,529126213592233;0,4684466019417476;0,5179611650485437;0,08298841491488904;16
0,6085485458374024;0,2743328726552398;0,019000673294067384;0,0015490503225409752;20;;2;2;100;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,40048543689320387;0,5194174757281553;0,6456310679611651;0,5169902912621359;0,470873786407767;0,5106796116504855;0,08006913310367006;64
1,1994569778442383;0,5367013934917764;0,032731151580810545;0,000742102216220226;20;;2;2;200;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,40048543689320387;0,5;0,6529126213592233;0,5072815533980582;0,47815533980582525;0,5077669902912622;0,08187062666091012;91
1,499098825454712;0,6810830454461235;0,04026217460632324;0,0024763045734736517;20;;2;2;250;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4077669902912621;0,5097087378640777;0,6504854368932039;0,5121359223300971;0,48058252427184467;0,5121359223300971;0,07878447855793536;55
1,8038786888122558;0,8063127960712299;0,04746112823486328;0,002413023396095386;20;;2;2;300;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 300};0,4077669902912621;0,49029126213592233;0,6553398058252428;0,5097087378640777;0,48058252427184467;0,50873786407767;0,08101998464087405;75
0,2958493232727051;0,12439095714840326;0,011600160598754882;0,0007999664464584643;20;;5;2;50;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 50};0,4053398058252427;0,4320388349514563;0,6674757281553398;0,5097087378640777;0,48058252427184467;0,4990291262135923;0,09175399371377864;161
0,5941009998321534;0,2845012080725958;0,02109189033508301;0,003037533262702455;20;;5;2;100;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 100};0,4077669902912621;0,4320388349514563;0,6432038834951457;0,5048543689320388;0,47815533980582525;0,4932038834951456;0,08234417813272331;219
1,150244951248169;0,5019141751822301;0,03320102691650391;0,0015996044752168703;20;;5;2;200;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200};0,4053398058252427;0,4320388349514563;0,662621359223301;0,5;0,47815533980582525;0,4956310679611651;0,08989630708187209;193
1,4636268138885498;0,671147998167048;0,041023778915405276;0,002665338656805238;20;;5;2;250;{'SelectKBest__k': 20, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 250};0,4029126213592233;0,4320388349514563;0,6796116504854369;0,5072815533980582;0,47815533980582525;0,5;0,09678350503581014;152
